ZIPCODE,NAICS2012_11,NAICS2012_71,NAICS2012_61,NAICS2012_52,NAICS2012_62,NAICS2012_51,NAICS2012_21,NAICS2012_54,LAT,LON,STATE,ESTMTD_POP_2015
1866,0,0,0,0,0,0,0,2,42.53,-71.23,MA,178
1867,0,12,16,34,73,9,1,69,42.53,-71.1,MA,24810
1876,1,11,10,22,72,5,0,62,42.61,-71.23,MA,28550
1879,0,13,5,7,11,4,0,35,42.68,-71.41,MA,11610
1880,0,12,14,75,93,22,0,135,42.5,-71.06,MA,25180
1885,0,0,0,0,0,1,0,3,42.67,-71.03,MA,331
1886,0,12,10,30,50,14,0,110,42.58,-71.43,MA,24190
1887,1,13,9,29,57,15,2,78,42.55,-71.16,MA,22520
1888,0,2,0,1,1,0,0,2,42.48,-71.15,MA,242
1890,0,14,13,34,99,12,0,115,42.45,-71.14,MA,22310
1901,0,5,3,18,56,13,0,25,42.46,-70.95,MA,1440
1902,0,3,7,8,63,3,0,28,42.47,-70.94,MA,40210
1903,0,0,0,0,3,0,0,0,42.47,-70.96,MA,1107
1904,0,3,2,15,42,4,0,16,42.47,-70.96,MA,18340
1905,0,6,1,8,19,1,0,6,42.47,-70.98,MA,23830
1906,1,14,3,26,65,17,0,49,42.46,-71.01,MA,25580
1907,0,8,5,16,40,3,1,35,42.47,-70.91,MA,13970
1908,0,3,2,1,3,0,0,5,42.43,-70.93,MA,3200
1910,0,1,0,0,0,1,0,2,42.47,-70.96,MA,0
1913,0,10,10,15,49,6,0,51,42.85,-70.92,MA,15190
1915,6,24,27,72,174,35,0,158,42.57,-70.87,MA,34410
1921,2,2,1,4,15,3,0,38,42.67,-70.98,MA,7940
1922,2,1,3,3,1,2,0,11,42.75,-70.93,MA,3110
1923,2,24,17,72,146,28,0,126,42.57,-70.95,MA,25830
1929,1,9,1,3,6,0,0,9,42.63,-70.77,MA,3350
1930,24,27,6,31,85,12,1,83,42.62,-70.66,MA,25490
1931,1,0,0,0,0,0,0,3,42.62,-70.66,MA,554
1936,0,0,0,2,1,0,0,3,42.61,-70.86,MA,361
1938,4,8,8,13,22,5,0,38,42.67,-70.83,MA,12860
1940,0,2,4,35,29,6,0,80,42.53,-71.04,MA,12880
1944,0,9,3,16,16,0,0,29,42.56,-70.76,MA,5110
1945,1,19,21,35,47,11,0,78,42.5,-70.85,MA,20070
1949,1,12,5,19,12,4,0,25,42.6,-71.01,MA,8180
1950,0,30,15,39,87,20,0,121,42.81,-70.88,MA,16750
1951,1,7,1,2,3,0,0,7,42.77,-70.85,MA,3390
1952,0,17,4,4,15,3,0,9,42.83,-70.84,MA,7300
1960,1,11,16,70,161,17,0,100,42.53,-70.97,MA,47880
1961,0,0,1,0,1,2,0,6,42.53,-70.97,MA,315
1965,0,1,1,2,0,0,0,3,42.56,-70.86,MA,428
1966,2,4,1,8,9,3,0,15,42.64,-70.61,MA,6380
1969,4,1,4,5,12,3,0,19,42.72,-70.89,MA,6010
1970,0,29,15,55,134,20,0,161,42.51,-70.9,MA,36170
1971,0,0,0,0,1,0,0,0,42.51,-70.89,MA,356
1982,4,5,3,6,18,3,0,26,42.62,-70.86,MA,6980
1983,0,7,5,16,17,5,0,46,42.63,-70.95,MA,6370
1984,1,5,3,2,5,2,0,10,42.6,-70.88,MA,3710
